PID,ID,Miner,Time
"Root Node","1",0,0
"1","2",95,8.06
"2","3",98,20.09
"2","4",8,22.12
"4","5",54,28.37
"5","6",8,39.2
"5","7",38,40.03
"7","8",67,54.27
"8","9",83,61.78
"9","10",94,88.52
"9","11",74,89.44
"11","12",51,124.59
"11","13",27,129.5
"12","14",40,129.63
"14","15",76,157.67
"15","16",94,172.09
"16","17",99,177.16
"16","18",76,181.02
"18","19",87,211.63
"18","20",10,214.59
"20","21",61,221.14
"21","22",78,249.53
"22","23",60,254.57
"22","24",82,254.63
"22","25",46,258.41
"22","26",91,258.62
"26","27",11,289.6
"26","28",19,292.84
"27","29",71,294.86
"27","30",43,295.24
"30","31",94,306.31
"30","32",91,307.73
"30","33",17,308.58
"32","34",52,312.85
"34","35",76,329.53
"35","36",59,337.27
"36","37",62,357.84
"37","38",56,367.47
"38","39",67,372.7
"38","40",0,374.11
"40","41",66,413.93
"40","42",15,415.25
"42","43",65,424.85
"42","44",59,427.66
"43","45",96,432.49
"45","46",18,443.1
"45","47",48,443.22
"45","48",74,445.54
"47","49",28,450.41
"49","50",34,466.01
"49","51",18,467.52
"49","52",99,468.74
"49","53",75,469.48
"53","54",91,483.61
"54","55",85,489.14
"54","56",75,490.86
"54","57",51,493.87
"57","58",6,507.33
"58","59",90,514.72
"59","60",18,526.75
"59","61",91,528.6
"61","62",49,538.6
"62","63",75,548.8
"62","64",95,551.09
"64","65",64,572.43
"65","66",74,583.86
"66","67",0,591.96
"66","68",46,593.42
"66","69",54,594.27
"69","70",52,632.05
"70","71",85,645.89
"71","72",5,692.52
"71","73",97,695.25
"72","74",91,697.89
"74","75",45,709
"75","76",77,715.54
"75","77",79,719.82
"77","78",23,738.25
"78","79",32,756.61
"79","80",4,769.92
"79","81",47,774.07
"80","82",77,775.9
"82","83",53,798.78
"83","84",70,809.03
"84","85",67,818.14
"84","86",19,818.36
"86","87",85,827.22
"87","88",50,839.31
"88","89",12,849.55
"89","90",59,869.02
"90","91",67,884.77
"90","92",0,886.14
"92","93",69,897.56
"93","94",85,904.89
"93","95",84,907.18
"93","96",96,909.76
"96","97",49,917.42
"96","98",41,917.92
"96","99",28,918.27
"99","100",1,928.03
"100","101",99,934.6
"101","102",73,955.92
"102","103",60,968.36
"102","104",55,970.82
"104","105",12,983.37
"104","106",22,988.08
"106","107",15,1024.59
"107","108",89,1074.08
"108","109",4,1081.85
"108","110",29,1086.13
"110","111",65,1099.17
"110","112",1,1100.15
"112","113",73,1113.39
"113","114",75,1135.02
"113","115",19,1137.96
"115","116",64,1144.16
"115","117",4,1147.53
"117","118",31,1186.99
"118","119",4,1206.79
"119","120",97,1218.53
"120","121",98,1240.17
"121","122",94,1245.51
"121","123",10,1247.05
"123","124",69,1256.06
"124","125",36,1265.7
"125","126",57,1271.95
"125","127",14,1273.47
"127","128",25,1280.07
"127","129",79,1280.07
"129","130",92,1288.71
"130","131",43,1294.81
"131","132",11,1303.27
"132","133",47,1332.12
"133","134",19,1341.31
"134","135",56,1352.32
"135","136",55,1357.7
"136","137",37,1368.16
"137","138",8,1377.63
"137","139",84,1381.65
"139","140",86,1389.94
"139","141",26,1392.95
"141","142",73,1409.65
"141","143",21,1410.18
"143","144",41,1418.6
"143","145",1,1421.2
"145","146",93,1447.98
"145","147",43,1450.39
"145","148",21,1450.7
"145","149",32,1452.86
"149","150",6,1459.32
"149","151",49,1462.45
"151","152",83,1484.87
"151","153",29,1486.01
"151","154",29,1488.51
"153","155",54,1493.08
"154","156",3,1494.92
"156","157",50,1523.34
"156","158",31,1524.15
"156","159",87,1525.09
"159","160",65,1569.33
"159","161",8,1569.56
"161","162",65,1577.38
"162","163",48,1593.41
"163","164",79,1606.69
"163","165",98,1610.55
"163","166",35,1611.17
"166","167",80,1620.82
"167","168",22,1638.86
"168","169",64,1650.63
"169","170",52,1656
"169","171",12,1657.65
"171","172",77,1675.28
"171","173",76,1676.36
"173","174",81,1682.51
"174","175",81,1696.8
"175","176",9,1711.66
"175","177",44,1712.95
"177","178",91,1720.78
"178","179",71,1733.22
"179","180",64,1743.33
"180","181",62,1774.92
"180","182",73,1778.44
"182","183",16,1801.16
"182","184",33,1801.67
"182","185",65,1802.14
"182","186",57,1802.95
"186","187",41,1812.24
"186","188",65,1816.82
"188","189",20,1834.59
"189","190",32,1850.44
"190","191",80,1860.65
"191","192",77,1874.33
"191","193",22,1877.62
"193","194",96,1905.18
"194","195",64,1921.58
"195","196",54,1933.22
"195","197",2,1938.16
"197","198",79,1946.78
"198","199",14,1954.85
"199","200",46,1977.92
"199","201",80,1979.65
"201","202",31,1989.15
"202","203",35,1995.79
"202","204",25,1995.87
"202","205",35,1996.55
"205","206",52,2019.25
"206","207",70,2040.2
"207","208",42,2045.97
"207","209",44,2049.53
"207","210",84,2050.34
"210","211",93,2059.67
"211","212",70,2067.79
"212","213",66,2074.37
"212","214",86,2074.5
"214","215",54,2088.58
"214","216",7,2089.03
"214","217",87,2089.04
"214","218",88,2091.33
"218","219",18,2124.68
"219","220",76,2133.07
"220","221",51,2141.19
"220","222",84,2141.83
"220","223",56,2145.11
"221","224",70,2146.41
"224","225",25,2154.2
"224","226",58,2154.77
"226","227",92,2161.49
"227","228",38,2184.66
"228","229",89,2206.95
"229","230",55,2244.75
"229","231",45,2248.13
"230","232",25,2252.84
"232","233",62,2268.73
"232","234",66,2272.94
"233","235",92,2273.83
"235","236",45,2282.46
"235","237",5,2282.52
"235","238",32,2285.21
"238","239",69,2311.35
"238","240",48,2311.73
"238","241",30,2316.05
"241","242",56,2363.47
"241","243",95,2368.26
"242","244",86,2372.05
"244","245",59,2378.36
"244","246",46,2381.5
"244","247",3,2382.3
"247","248",16,2408.81
"248","249",23,2434.14
"248","250",14,2436.8
"249","251",29,2441.06
"251","252",27,2446.45
"252","253",98,2460.35
"253","254",31,2473.7
"253","255",96,2474.48
"255","256",65,2494.41
"255","257",18,2494.93
"255","258",16,2495.57
"255","259",95,2496.74
"259","260",60,2503.24
"260","261",66,2520.51
"261","262",84,2530.4
"262","263",55,2537.52
"262","264",77,2541.86
"264","265",70,2557.3
"265","266",87,2564.1
"265","267",7,2568.68
"267","268",30,2575.31
"268","269",78,2582.05
"269","270",46,2605.78
"270","271",98,2622.66
"271","272",11,2633.8
"272","273",36,2648.44
"272","274",75,2652.28
"273","275",29,2655.11
"273","276",23,2657.04
"276","277",16,2668.14
"277","278",7,2702.96
"277","279",63,2704.99
"279","280",52,2713.29
"280","281",74,2732.24
"280","282",73,2735.68
"281","283",3,2737.8
"281","284",13,2737.84
"284","285",10,2763.99
"285","286",22,2779.2
"285","287",53,2781.83
"287","288",80,2799.54
"288","289",48,2804.69
"289","290",86,2810.93
"290","291",88,2827.95
"290","292",83,2829.52
"290","293",21,2832.5
"293","294",15,2851.33
"294","295",66,2867.12
"295","296",53,2872.63
"296","297",75,2884.12
"297","298",71,2895.89
"298","299",58,2920.26
"299","300",77,2937.99
"300","301",20,2944.49
"300","302",79,2947.72
"301","303",49,2949.85
"301","304",62,2950.42
"304","305",9,2962.78
"304","306",15,2967.32
"305","307",95,2972.3
"306","308",19,2973.13
"308","309",88,2981.67
"309","310",99,2995.63
"310","311",76,3001.26
"310","312",11,3003.08
"310","313",29,3003.2
"313","314",32,3039.93
"314","315",13,3072.17
"314","316",83,3073.28
"316","317",28,3100.63
"316","318",10,3104.41
"317","319",53,3106.11
"317","320",15,3108.72
"320","321",52,3132.42
"321","322",36,3151.99
"321","323",36,3156.27
"323","324",5,3181.53
"323","325",42,3181.54
"325","326",50,3199.29
"326","327",49,3204.34
"327","328",18,3225.61
"327","329",48,3227.71
"329","330",37,3237.96
"329","331",9,3239.17
"329","332",32,3241.25
"332","333",15,3249.25
"332","334",64,3250.46
"334","335",28,3260.36
"335","336",50,3270.14
"335","337",8,3271.72
"335","338",24,3274.3
"338","339",71,3288.46
"339","340",29,3310.95
"339","341",30,3312.23
"339","342",59,3312.73
"342","343",23,3317.77
"343","344",54,3338.38
"343","345",9,3341.83
"343","346",81,3342.29
"345","347",69,3347.02
"346","348",47,3349.02
"348","349",48,3354.6
"348","350",14,3356.51
"350","351",78,3364.06
"350","352",94,3364.28
"350","353",86,3366.54
"353","354",17,3376.62
"353","355",89,3380.27
"355","356",37,3415.51
"356","357",51,3424.31
"356","358",25,3427.5
"357","359",24,3432.33
"358","360",73,3436.05
"360","361",39,3443.39
"360","362",8,3447.35
"362","363",18,3459.4
"363","364",30,3464.68
"363","365",10,3465.81
"365","366",36,3481.7
"366","367",73,3488.07
"366","368",27,3491.18
"368","369",70,3510.62
"369","370",23,3529.53
"370","371",24,3537.68
"370","372",36,3542.12
"372","373",28,3555.93
"373","374",29,3574.31
"374","375",92,3601.67
"374","376",17,3605.07
"376","377",26,3627.08
"377","378",95,3645.92
"378","379",66,3661.11
"379","380",12,3668.98
"379","381",52,3672.83
"381","382",91,3683.64
"382","383",47,3695.04
"383","384",43,3703.56
"384","385",79,3719.92
"385","386",1,3726.32
"385","387",22,3726.42
"387","388",17,3731.56
"388","389",23,3741.1
"389","390",51,3759.73
"390","391",73,3776.43
"391","392",31,3813.94
"391","393",53,3815.39
"393","394",69,3837.05
"393","395",12,3838.48
"393","396",21,3840.65
"396","397",31,3855.66
"397","398",58,3882.1
"398","399",59,3893.41
"398","400",67,3893.81
"398","401",97,3897.88
"401","402",75,3910.49
"401","403",59,3910.72
"403","404",25,3920.16
"403","405",69,3921.53
"405","406",42,3929.38
"406","407",30,3935.75
"406","408",61,3939.41
"408","409",63,3980.09
"409","410",4,3989.42
"410","411",93,3994.71
"410","412",50,3997.91
"411","413",57,4001.65
"413","414",9,4007.64
"414","415",29,4014.54
"414","416",30,4017.65
"416","417",43,4033.4
"416","418",35,4033.98
"418","419",14,4044.52
"418","420",92,4048.59
"420","421",87,4056.49
"421","422",2,4093.93
"422","423",42,4127.33
"422","424",75,4127.71
"424","425",69,4137.37
"425","426",36,4156.81
"426","427",75,4170.34
"427","428",44,4182.68
"427","429",9,4183.97
"429","430",14,4204.45
"430","431",29,4221.87
"431","432",13,4232.67
"432","433",59,4243.94
"433","434",13,4250.79
"434","435",87,4273.3
"435","436",92,4278.38
"436","437",82,4289.05
"436","438",50,4290.82
"437","439",80,4295.07
"438","440",40,4298.67
"440","441",92,4320.3
"441","442",4,4352.57
"442","443",8,4372.21
"442","444",38,4373.4
"444","445",34,4385.69
"444","446",7,4385.78
"444","447",40,4388.94
"447","448",63,4413.26
"448","449",28,4450.65
"449","450",22,4469.8
"449","451",88,4472.27
"451","452",13,4488.95
"452","453",90,4495.43
"453","454",92,4505.71
"453","455",0,4506.58
"453","456",3,4510.05
"453","457",31,4510.31
"457","458",46,4521.64
"458","459",60,4532.65
"459","460",30,4547.54
"459","461",50,4547.81
"461","462",18,4554.98
"462","463",65,4573.69
"463","464",97,4588
"464","465",98,4598.97
"465","466",29,4613.59
"465","467",42,4614.32
"467","468",92,4621.69
"467","469",31,4624.17
"467","470",78,4625
"470","471",38,4633.3
"471","472",33,4638.98
"471","473",95,4640.05
"473","474",3,4662.33
"473","475",86,4662.87
"475","476",75,4686.03
"476","477",91,4692.56
"476","478",74,4695.85
"478","479",16,4703.74
"478","480",92,4704.97
"480","481",88,4711.06
"481","482",5,4720.78
"482","483",65,4729.63
"483","484",55,4748.85
"484","485",0,4769.72
"484","486",61,4772.04
"486","487",51,4796.43
"486","488",43,4800.02
"486","489",66,4801.3
"487","490",37,4804.24
"489","491",0,4807.55
"490","492",61,4812.05
"491","493",94,4812.69
"493","494",21,4819.61
"494","495",47,4826.56
"495","496",15,4850.67
"495","497",69,4854.13
"496","498",7,4858.9
"498","499",51,4870
"499","500",50,4878.73
"499","501",97,4882.29
"501","502",83,4890.05
"501","503",28,4893.31
"503","504",10,4908.94
"503","505",27,4909.07
"503","506",40,4909.28
"506","507",19,4922.96
"507","508",77,4928.4
"507","509",89,4932.4
"509","510",24,4950.93
"510","511",21,4974.47
"510","512",23,4979.12
"512","513",76,4990.42
"512","514",1,4994.52
"514","515",70,5009.96
"515","516",21,5027.45
"516","517",18,5049.93
"517","518",97,5063.69
"517","519",52,5063.87
"519","520",26,5075.96
"519","521",61,5075.98
"521","522",67,5088.77
"522","523",45,5104.15
"522","524",78,5104.31
"524","525",75,5118.77
"525","526",40,5129.96
"525","527",44,5130.38
"525","528",37,5132.48
"528","529",71,5142.62
"528","530",45,5143.15
"530","531",22,5148.59
"530","532",42,5151.05
"532","533",33,5156.97
"532","534",10,5157.5
"534","535",91,5195.19
"535","536",49,5202.02
"535","537",56,5205.96
"536","538",6,5207.27
"537","539",33,5211.21
"539","540",80,5218.42
"539","541",52,5222.84
"540","542",99,5225.63
"540","543",2,5225.66
"540","544",54,5227.8
"541","545",76,5228.41
"545","546",22,5250.37
"546","547",76,5257.01
"546","548",34,5261.1
"548","549",82,5272.14
"549","550",85,5277.44
"549","551",72,5280.12
"551","552",55,5316.95
"552","553",42,5327.72
"553","554",32,5339.01
"553","555",16,5343.15
"554","556",57,5344.98
"556","557",7,5355.51
"557","558",58,5386.53
"558","559",75,5394.44
"559","560",85,5401.09
"560","561",52,5407.27
"561","562",86,5435.82
"561","563",1,5438.39
"563","564",70,5455.3
"564","565",77,5461.78
"565","566",27,5480.61
"565","567",20,5485.03
"567","568",1,5492.41
"568","569",65,5501.75
"568","570",79,5504.21
"569","571",22,5509.08
"570","572",90,5512.54
"572","573",33,5518.95
"572","574",12,5522.84
"574","575",37,5532.83
"575","576",24,5542.35
"576","577",84,5560.1
"577","578",78,5575.49
"578","579",77,5581.69
"578","580",37,5582.52
"580","581",20,5588.91
"580","582",79,5589.93
"582","583",61,5598.78
"583","584",30,5604.02
"584","585",14,5622.97
"585","586",53,5635.83
"585","587",50,5637.62
"587","588",57,5645.34
"587","589",15,5649.56
"589","590",23,5663.81
"590","591",22,5680.69
"591","592",87,5686.32
"592","593",94,5700.23
"593","594",20,5707.79
"593","595",78,5709.21
"595","596",93,5721.61
"595","597",17,5722.75
"595","598",20,5724.82
"598","599",20,5733.75
"598","600",90,5735.54
"598","601",23,5737.26
"598","602",86,5738.54
"602","603",4,5767.46
"602","604",12,5770.6
"603","605",36,5772.72
"605","606",97,5791.45
"606","607",20,5804.58
"607","608",7,5811.57
"608","609",95,5824.07
"608","610",9,5827.51
"608","611",99,5827.75
"611","612",82,5840.88
"611","613",80,5841.95
"613","614",15,5866.43
"613","615",18,5868.93
"615","616",29,5883.2
"615","617",91,5887.7
"616","618",72,5892.19
"617","619",38,5894.47
"619","620",34,5899.88
"619","621",74,5901.37
"621","622",39,5930.04
"621","623",49,5934.01
"622","624",72,5938.63
"624","625",18,5944.6
"625","626",54,5953.67
"626","627",8,5962.08
"627","628",31,5968.85
"628","629",57,6026.58
"629","630",39,6047.57
"630","631",49,6054.9
"631","632",31,6065.77
"631","633",53,6067.45
"631","634",43,6069.16
"634","635",17,6078.85
"635","636",57,6093.45
"635","637",92,6098.38
"637","638",4,6113.21
"638","639",69,6119.42
"639","640",15,6138.3
"639","641",20,6141.62
"640","642",22,6143.69
"642","643",98,6151.14
"643","644",83,6179.44
"644","645",26,6187.25
"645","646",33,6192.29
"646","647",11,6223.8
"646","648",40,6224.81
"647","649",76,6229.01
"649","650",29,6293.07
"649","651",41,6297.77
"651","652",5,6314.08
"652","653",46,6320.99
"653","654",2,6329.1
"654","655",46,6336.42
"654","656",63,6341.09
"656","657",42,6349.12
"657","658",92,6357.79
"657","659",44,6359.37
"659","660",9,6382.5
"660","661",2,6396.67
"660","662",83,6398.75
"662","663",84,6405.52
"663","664",64,6417.03
"664","665",86,6428.63
"665","666",94,6436.37
"666","667",90,6442.46
"667","668",86,6467.94
"668","669",70,6473.92
"668","670",95,6478.45
"670","671",78,6491.28
"670","672",54,6492.24
"672","673",89,6504.85
"672","674",44,6509.58
"673","675",77,6512.35
"675","676",23,6528.9
"676","677",45,6540.82
"677","678",8,6564.15
"678","679",79,6574.64
"679","680",44,6584.41
"679","681",35,6586.19
"681","682",78,6597.13
"681","683",41,6599.02
"683","684",68,6606.94
"684","685",88,6612.03
"685","686",67,6618.44
"686","687",42,6648.72
"687","688",86,6658.11
"688","689",82,6671.64
"688","690",51,6674.66
"690","691",69,6684.5
"690","692",39,6688.27
"691","693",32,6691.97
"691","694",53,6692.79
"693","695",69,6697.6
"695","696",7,6716.67
"696","697",77,6740.36
"696","698",67,6740.56
"696","699",91,6743.5
"699","700",38,6756.38
"700","701",66,6775.97
"701","702",45,6809.21
"701","703",20,6813.75
"702","704",47,6816.51
"704","705",34,6823.98
"705","706",40,6833.98
"706","707",82,6843.46
"706","708",56,6844.1
"708","709",88,6856.47
"709","710",5,6870.8
"709","711",60,6874.09
"709","712",3,6875.12
"711","713",70,6879.38
"713","714",38,6892.54
"713","715",47,6893.66
"713","716",79,6895.51
"716","717",79,6910.13
"717","718",92,6917.7
"718","719",4,6933.63
"719","720",52,6946.19
"720","721",46,6961.71
"721","722",79,6976.51
"722","723",69,7011.19
"722","724",90,7013.79
"723","725",63,7017.3
"725","726",30,7045.83
"725","727",79,7048.54
"727","728",3,7057.34
"727","729",17,7060.36
"728","730",1,7064.41
"730","731",7,7072.21
"731","732",86,7078.39
"731","733",27,7080.38
"733","734",26,7092.54
"734","735",31,7100.1
"735","736",6,7114.72
"735","737",11,7114.98
"735","738",31,7119.05
"735","739",98,7119.25
"739","740",24,7155.44
"739","741",80,7157.24
"741","742",41,7163.63
"741","743",37,7168.32
"743","744",88,7178.64
"744","745",20,7190.15
"744","746",31,7194.43
"746","747",43,7219.75
"747","748",60,7229.35
"747","749",45,7229.5
"747","750",80,7231.46
"750","751",1,7240.8
"750","752",10,7243.23
"752","753",16,7255.94
"753","754",7,7262.08
"754","755",87,7291.02
"755","756",8,7296.76
"756","757",53,7318.86
"757","758",32,7328.53
"757","759",0,7331.5
"757","760",1,7333.36
"758","761",54,7335.15
"761","762",1,7348.74
"762","763",83,7358.36
"763","764",35,7365.39
"763","765",19,7369.88
"764","766",59,7371.66
"766","767",98,7380.7
"767","768",87,7388.21
"767","769",52,7389.36
"769","770",92,7397.3
"770","771",61,7406.47
"771","772",22,7426.97
"772","773",8,7452.66
"773","774",53,7458.22
"774","775",43,7463.55
"775","776",40,7471.68
"775","777",92,7471.99
"777","778",43,7482.81
"777","779",81,7487.79
"779","780",48,7493.45
"780","781",18,7508.73
"780","782",38,7511.46
"781","783",38,7514.76
"783","784",4,7533.87
"783","785",63,7536.52
"783","786",48,7537.67
"786","787",19,7550.16
"787","788",9,7563.52
"788","789",64,7586.25
"789","790",82,7599.79
"790","791",81,7631.62
"790","792",85,7632.2
"790","793",28,7633.61
"792","794",21,7637.58
"792","795",94,7637.97
"795","796",2,7668.06
"795","797",33,7669.58
"796","798",84,7674.19
"796","799",68,7674.29
"799","800",38,7683.83
"800","801",77,7695.24
"801","802",7,7701.38
"802","803",53,7740.15
"803","804",64,7756.96
"804","805",48,7764.02
"805","806",44,7772.37
"806","807",12,7782.28
"807","808",34,7791.11
"808","809",94,7808.12
"809","810",80,7816.85
"810","811",58,7838.35
"810","812",81,7838.8
"810","813",97,7840.31
"813","814",27,7875.64
"813","815",0,7875.7
"813","816",91,7877.96
"816","817",86,7885.4
"817","818",93,7904.07
"818","819",67,7920.2
"819","820",45,7932.22
"820","821",92,7942.97
"821","822",84,7949.64
"822","823",43,7956.52
"822","824",94,7959.41
"824","825",13,7979.13
"825","826",38,7992.23
"826","827",53,7999.81
"827","828",26,8029.8
"828","829",87,8039.25
"829","830",74,8044.52
"829","831",78,8044.57
"831","832",17,8054.09
"831","833",21,8055.17
"831","834",16,8058.55
"833","835",24,8061.37
"834","836",81,8063.59
"836","837",68,8074.73
"837","838",65,8092.56
"838","839",66,8114.86
"838","840",7,8116.37
"840","841",5,8121.41
"841","842",20,8148.16
"842","843",76,8158
"843","844",53,8193.17
"843","845",49,8193.77
"845","846",71,8208.56
"846","847",4,8228.2
"847","848",28,8239.37
"848","849",93,8284.9
"849","850",89,8304.3
"850","851",45,8313.64
"850","852",71,8313.65
"852","853",9,8349.5
"852","854",18,8353.03
"854","855",71,8359.76
"855","856",21,8369.87
"856","857",80,8377.22
"857","858",27,8390.19
"857","859",38,8391.97
"857","860",80,8392.63
"857","861",84,8392.87
"857","862",23,8393.78
"862","863",90,8401.44
"863","864",71,8407.05
"863","865",11,8409.22
"863","866",85,8409.92
"866","867",61,8417.89
"866","868",39,8419.94
"868","869",34,8443.67
"868","870",6,8448.41
"870","871",10,8461.03
"870","872",81,8461.15
"872","873",18,8473.58
"873","874",35,8484.16
"874","875",62,8505.7
"874","876",65,8510.62
"875","877",56,8515.05
"877","878",24,8561.8
"877","879",87,8566.63
"879","880",27,8575.57
"880","881",83,8585.85
"880","882",29,8587.51
"882","883",38,8640.53
"882","884",94,8641.89
"883","885",10,8646.4
"884","886",70,8648.94
"886","887",69,8660.63
"887","888",95,8671.43
"888","889",23,8676.52
"889","890",26,8693.82
"889","891",86,8694.14
"891","892",83,8713.19
"892","893",34,8723.37
"892","894",38,8725.95
"893","895",52,8730.19
"894","896",35,8735.12
"896","897",13,8760.86
"897","898",33,8788.25
"898","899",74,8811.04
"899","900",1,8822.19
"900","901",18,8842.76
"901","902",96,8851.92
"902","903",46,8886.63
"903","904",23,8896.86
"903","905",47,8899.16
"904","906",5,8903.44
"905","907",20,8906.58
"907","908",98,8916.64
"908","909",66,8925.54
"909","910",69,8941.26
"910","911",30,8947.13
"911","912",69,8954.08
"912","913",6,8974.87
"912","914",50,8974.97
"914","915",48,8980.82
"915","916",94,8994.11
"915","917",53,8994.54
"917","918",91,9012.09
"918","919",89,9026.48
"918","920",33,9029.35
"920","921",98,9042.61
"921","922",8,9056.03
"922","923",8,9070.05
"923","924",53,9078.34
"924","925",87,9090
"925","926",25,9102.97
"926","927",12,9109.1
"927","928",52,9128.34
"927","929",81,9128.44
"929","930",40,9137.99
"930","931",12,9146.97
"930","932",39,9150.89
"932","933",80,9162.88
"932","934",98,9167.26
"934","935",17,9173.6
"934","936",57,9174.25
"936","937",36,9186.88
"937","938",27,9203.71
"938","939",56,9210.2
"938","940",65,9212.83
"938","941",23,9214.16
"939","942",65,9215.67
"942","943",44,9245.35
"943","944",31,9290.25
"944","945",44,9320.34
"945","946",50,9330.87
"945","947",46,9331.26
"947","948",42,9341.82
"948","949",6,9348.14
"948","950",39,9352.86
"950","951",74,9373.55
"951","952",90,9404.81
"952","953",68,9410.33
"953","954",26,9420.5
"954","955",30,9427.64
"954","956",27,9427.79
"954","957",98,9430.36
"957","958",53,9436.05
"958","959",57,9443
"959","960",85,9471.14
"959","961",16,9472.61
"960","962",70,9477.24
"962","963",31,9500.8
"963","964",83,9508.72
"964","965",80,9516.81
"964","966",82,9521.48
"965","967",91,9523.07
"965","968",95,9523.44
"968","969",90,9598.93
"969","970",85,9609.41
"969","971",5,9612.33
"970","972",89,9616.5
"972","973",40,9627.86
"972","974",82,9629.8
"974","975",38,9652.25
"975","976",70,9665.58
"975","977",65,9665.97
"977","978",13,9676.1
"977","979",10,9677.04
"977","980",25,9680.29
"979","981",20,9684.93
"981","982",49,9708.85
"982","983",99,9718.44
"983","984",18,9728.65
"983","985",57,9729.74
"985","986",51,9762.3
"986","987",97,9769.03
"986","988",60,9773.11
"987","989",0,9775
"989","990",3,9784.08
"990","991",82,9789.79
"991","992",65,9796.55
"991","993",92,9799.23
"991","994",57,9800.56
"991","995",60,9801.29
"995","996",92,9812.07
"996","997",40,9819.25
"997","998",26,9847.55
"997","999",85,9849.74
"997","1000",10,9850.21
"1000","1001",97,9860.06
"1001","1002",29,9872.03
"1002","1003",65,9914.5
"1002","1004",19,9915.87
"1003","1005",78,9919.58
"1005","1006",33,9924.71
"1006","1007",52,9932.95
"1006","1008",9,9934.15
"1008","1009",26,9950.27
"1009","1010",41,9960.56
"1010","1011",86,9965.89
"1010","1012",80,9968.27
"1010","1013",92,9968.77
"1013","1014",23,9975.37
"1014","1015",24,9984.62
"1014","1016",69,9984.96
"1016","1017",51,9993.71
